Type,Title,Link,Price_sale,Sale_off,Total_sold,Preview,Location,Price_original,Ship_price,Return,Sale_rating,Ship_on_time,Chat_response,One_star,Two_star,Three_star,Four_star,Five_star
tivi,"Tcon Tivi SONY 43X8000G, 49X8000G - HÀNG NGUYÊN ZIN CHÍNH HÃNG",https://www.lazada.vn/products/tcon-tivi-sony-43x8000g-49x8000g-hang-nguyen-zin-chinh-hang-i2421095392.html,320.000 ₫,,7 Đã bán,(3),Tiền Giang,,28.700 ₫,,96%,100%,100%,['0'],['0'],['0'],['0'],['3']
tivi,"[XẢ KHO TIVI GIÁ RẺ ] TIVI TOSHIBA 24"" PHỤ KIỆN ĐẦY ĐỦ CẦN THANH LÝ",https://www.lazada.vn/products/xa-kho-tivi-gia-re-tivi-toshiba-24-phu-kien-day-du-can-thanh-ly-i2162425057.html,1.150.000 ₫,,14 Đã bán,(2),Hồ Chí Minh,,71.100 ₫,,92%,Không đủ thông tin,80%,['1'],['0'],['0'],['0'],['2']
tivi,Thanh lý tivi samsung 37inch LCD đẹp 98% đầy đủ cổng kết nối( tặng giá treo tường),https://www.lazada.vn/products/thanh-ly-tivi-samsung-37inch-lcd-dep-98-day-du-cong-ket-noi-tang-gia-treo-tuong-i2407825824.html,1.650.000 ₫,,,(1),Hà Nội,,206.800 ₫,,91%,95%,93%,['0'],['0'],['0'],['0'],['1']
tivi,Smart Tivi Casper S Series HD 32 inch 32HGS610 - GIAO TOÀN QUỐC - FREESHIP HCM,https://www.lazada.vn/products/smart-tivi-casper-s-series-hd-32-inch-32hgs610-giao-toan-quoc-freeship-hcm-i2035092352.html,3.709.000 ₫,,10 Đã bán,(3),Hồ Chí Minh,6.000.000 ₫,,,98%,100%,99%,['0'],['0'],['0'],['0'],['3']
tivi,"THANH LED TIVI TCL 43S6500 43S6800 43P8 43P65 MỚI 100% HÀNG ZIN HÃNG, BỘ 2 THANH, MỖI THANH 11 BÓNG 6V, DÀI 80,4cm",https://www.lazada.vn/products/thanh-led-tivi-tcl-43s6500-43s6800-43p8-43p65-moi-100-hang-zin-hang-bo-2-thanh-moi-thanh-11-bong-6v-dai-804cm-i2110017789.html,169.000 ₫,,,(1),Hà Nội,,38.000 ₫,,97%,96%,70%,['0'],['0'],['0'],['0'],['1']
tivi,"Thanh lý Smart Tivi Samsung 55in 4k có wifi,youtobe,netflix...",https://www.lazada.vn/products/thanh-ly-smart-tivi-samsung-55in-4k-co-wifiyoutobenetflix-i2627693249.html,5.380.000 ₫,,,,Hà Nội,,206.800 ₫,,91%,95%,93%,['0'],['0'],['0'],['0'],['0']
tivi,LED Tivi ASANZO 25 inch HD 25S200T2 ( HD Ready Tích hợp DVB-T2 Tivi Giá Rẻ ) - Bảo Hành toàn quốc 2 Năm,https://www.lazada.vn/products/led-tivi-asanzo-25-inch-hd-25s200t2-hd-ready-tich-hop-dvb-t2-tivi-gia-re-bao-hanh-toan-quoc-2-nam-i2403289327.html,2.380.000 ₫,,,(3),Hồ Chí Minh,,Miễn phí,,100%,Không đủ thông tin,66%,['0'],['0'],['0'],['0'],['3']
tivi,TIVI Thông minh Google Tivi Xiaomi 65A PRO L65M8-A2SEA / Xiaomi A Pro 65 inch New 2023 Chính hãng - SM ROBOTICS,https://www.lazada.vn/products/tivi-thong-minh-google-tivi-xiaomi-65a-pro-l65m8-a2sea-xiaomi-a-pro-65-inch-new-2023-chinh-hang-sm-robotics-i2590397714.html,6.490.000 ₫,,,,Hồ Chí Minh,14.990.000 ₫,131.600 ₫,,Không đủ thông tin,Không đủ thông tin,Không đủ thông tin,['0'],['0'],['0'],['0'],['0']
tivi,"Bo mạch , loa , cáp tivi Toshiba 32HV10V",https://www.lazada.vn/products/bo-mach-loa-cap-tivi-toshiba-32hv10v-i1841344216.html,350.000 ₫,,,,Quảng Nam,,37.700 ₫,,94%,71%,75%,['0'],['0'],['0'],['0'],['0']
tivi,[NEW MODEL 2024] QLED TIVI 4K SAMSUNG 85 INCH 85Q80D SMART TV,https://www.lazada.vn/products/new-model-2024-qled-tivi-4k-samsung-85-inch-85q80d-smart-tv-i2623014247.html,64.690.000 ₫,,,,Hồ Chí Minh,68.790.000 ₫,,,100%,Không đủ thông tin,Không đủ thông tin,['0'],['0'],['0'],['0'],['0']
tivi,"Android Tivi Sony 43 inch bắt wifi,youtobe cực nhanh",https://www.lazada.vn/products/android-tivi-sony-43-inch-bat-wifiyoutobe-cuc-nhanh-i2322449637.html,3.863.890 ₫,,17 Đã bán,(11),Hà Nội,3.950.000 ₫,198.200 ₫,,91%,95%,93%,['0'],['0'],['0'],['0'],['11']
tivi,"Tivi Coocaa 32 Inch Model 32R5 Smart tivi kết nối wifi, Đồng kiểm, Đổi trả 30 ngày, Bảo hành 24 tháng - Komex.",https://www.lazada.vn/products/tivi-coocaa-32-inch-model-32r5-smart-tivi-ket-noi-wifi-dong-kiem-doi-tra-30-ngay-bao-hanh-24-thang-komex-i2223642963.html,2.990.000 ₫,,617 Đã bán,(207),Hà Nội,4.799.000 ₫,,,98%,Không đủ thông tin,Không đủ thông tin,['4'],['0'],['3'],['4'],['196']
tivi,"Tivi Xiaomi 32 Inch A32 Nội Địa HD Tivi Thông Minh Kết Nối Wifi, Thiết kế tràn viền, Đồng Kiểm, Đổi Trả 30 Ngày Chính Hãng Komex",https://www.lazada.vn/products/tivi-xiaomi-32-inch-a32-noi-dia-hd-tivi-thong-minh-ket-noi-wifi-thiet-ke-tran-vien-dong-kiem-doi-tra-30-ngay-chinh-hang-komex-i2426712364.html,2.990.000 ₫,,189 Đã bán,(57),Hà Nội,5.490.000 ₫,,,98%,Không đủ thông tin,Không đủ thông tin,['0'],['0'],['0'],['0'],['58']
tivi,"Smart TV 32inch Samsung chính hãng wifi siêu nhanh,mượt",https://www.lazada.vn/products/smart-tv-32inch-samsung-chinh-hang-wifi-sieu-nhanhmuot-i2221536710.html,2.200.950 ₫,,61 Đã bán,(28),Hà Nội,2.600.000 ₫,135.500 ₫,,91%,95%,93%,['2'],['0'],['0'],['1'],['25']
tivi,Smart Tivi TCL 55 inch 4K L55P65-UF - Internet TV TCL Việt Nam - Giá số 1 thị trường - Màn mới nguyên Seal - Nguyên Tem & Phụ kiện zin mới - Like New - Bao 1 đổi 1 nếu có lỗi trong 12 tháng. - CHÍNH HÃNG 100% - VOUCHER TÍCH L,https://www.lazada.vn/products/smart-tivi-tcl-55-inch-4k-l55p65-uf-internet-tv-tcl-viet-nam-gia-so-1-thi-truong-man-moi-nguyen-seal-nguyen-tem-phu-kien-zin-moi-like-new-bao-1-doi-1-neu-co-loi-trong-12-thang-chinh-hang-100-voucher-tich-l-i1995837668.html,5.713.000 ₫,,463 Đã bán,(178),Hồ Chí Minh,8.800.000 ₫,,,97%,Không đủ thông tin,78%,['1'],['2'],['2'],['5'],['169']
tivi,Tivi Xiaomi EA 43 55 65 75 inch Màn Hình 4k Android TV,https://www.lazada.vn/products/tivi-xiaomi-ea-43-55-65-75-inch-man-hinh-4k-android-tv-i2401792516.html,5.490.000 ₫,,,,Hồ Chí Minh,,146.000 ₫,,100%,100%,100%,['0'],['0'],['0'],['0'],['0']
