Type,Title,Link_item,Price_sale,Sale_off,Location,index_,Total_sold,Preview,temp_id
laptop,Laptop cũ giá rẻ học tập giải trí nhiều hãng,https://www.lazada.vn/products/laptop-cu-gia-re-hoc-tap-giai-tri-nhieu-hang-i2301345090.html,1.799.000 ₫,,Đồng Nai,18,77 Đã bán,(18),18.0
laptop,"Dell Latitude 7280 Core i5 i7-8650U- Ram 16GB- SSD 512GB. tác vụ văn phòng, học tập, làm việc mượt mà. Bảo hành 12 tháng",https://www.lazada.vn/products/dell-latitude-7280-core-i5-i7-8650u-ram-16gb-ssd-512gb-tac-vu-van-phong-hoc-tap-lam-viec-muot-ma-bao-hanh-12-thang-i2496438294.html,3.500.000 ₫,,Hồ Chí Minh,19,375 Đã bán,(117),19.0
laptop,[Voucher Discount 15% Max 3000k ] Laptop HP Pavilion 15 eg2058TU (6K788PA) | Intel® Alder Lake Core™ i5 _ 1240P | 8GB | 256GB SSD PCIe | Intel® Iris® Xe Graphics | 15.6 inch Full HD IPS | Win 11| Hàng Chính Hãng,https://www.lazada.vn/products/voucher-discount-15-max-3000k-laptop-hp-pavilion-15-eg2058tu-6k788pa-intel-alder-lake-core-i5-_-1240p-8gb-256gb-ssd-pcie-intel-iris-xe-graphics-156-inch-full-hd-ips-win-11-hang-chinh-hang-i2062128661.html,14.699.000 ₫,30% Off,Hồ Chí Minh,20,106 Đã bán,(27),20.0
laptop,"Bán Xác Laptop Acer 4349, không lên hình. Giá bán 400k",https://www.lazada.vn/products/ban-xac-laptop-acer-4349-khong-len-hinh-gia-ban-400k-i2346400118.html,400.000 ₫,,Tiền Giang,21,,,
laptop,Lenovo Laptop 14 FHD Màn hình Intel Core i5 12GB RAM 128GB SSD Ultra HD Card đồ họa 600 Windows 11 Professional Student Laptop Chơi game với WiFi Bluetooth,https://www.lazada.vn/products/lenovo-laptop-14-fhd-man-hinh-intel-core-i5-12gb-ram-128gb-ssd-ultra-hd-card-do-hoa-600-windows-11-professional-student-laptop-choi-game-voi-wifi-bluetooth-i2361371890.html,4.804.919 ₫,44% Off,Hải Phòng,22,9 Đã bán,(3),22.0
laptop,"Laptop giá rẻ phục vụ online, giải trí",https://www.lazada.vn/products/laptop-gia-re-phuc-vu-online-giai-tri-i767068727.html,1.600.000 ₫,,Nghệ An,23,153 Đã bán,(33),23.0
laptop,"【Bảo hành 2 năm】Máy tính xách tay dành cho sinh viên màu hồng Royal ASUS Intel Core i7/Core i5/Intel Celeron J4125 2024 Ultrabook Intel thế hệ thứ 11 mới Monspring 15,6 inch RAM16g SSD 512GB Máy tính xách tay chơi game mở khóa bằng vân tay có camera tích",https://www.lazada.vn/products/bao-hanh-2-nammay-tinh-xach-tay-danh-cho-sinh-vien-mau-hong-royal-asus-intel-core-i7core-i5intel-celeron-j4125-2024-ultrabook-intel-the-he-thu-11-moi-monspring-156-inch-ram16g-ssd-512gb-may-tinh-xach-tay-choi-game-mo-khoa-bang-van-tay-co-camera-tich-i1980639194.html,6.685.956 ₫,27% Off,Hồ Chí Minh,24,44 Đã bán,(18),24.0
laptop,"Máy tính xách tay Asus i7/J4125 sổ ghi chép phiên bản sang trọng 15,6 -inch máy tính xách tay màu hồng Máy tính xách tay SSD 512GB/1TB Máy ảnh được xây dựng Window10/11 chạy trơn tru",https://www.lazada.vn/products/may-tinh-xach-tay-asus-i7j4125-so-ghi-chep-phien-ban-sang-trong-156-inch-may-tinh-xach-tay-mau-hong-may-tinh-xach-tay-ssd-512gb1tb-may-anh-duoc-xay-dung-window1011-chay-tron-tru-i2034062366.html,6.851.459 ₫,24% Off,Hồ Chí Minh,25,179 Đã bán,(41),25.0
laptop,ELITER X2 g4,https://www.lazada.vn/products/eliter-x2-g4-i2479901334.html,7.689.000 ₫,,Hưng Yên,26,105 Đã bán,(33),26.0
laptop,"Laptop HP Probook / Intel Core i5 ~ 2.4Ghz / Ram 8G / Ổ SSD 128G / Windows 10Pro / Chơi game, học tập, giải trí / Tặng kèm chuột + lót chuột",https://www.lazada.vn/products/laptop-hp-probook-intel-core-i5-24ghz-ram-8g-o-ssd-128g-windows-10pro-choi-game-hoc-tap-giai-tri-tang-kem-chuot-lot-chuot-i865448194.html,2.550.000 ₫,20% Off,Hà Nội,27,233 Đã bán,(55),27.0
laptop,ASUS Factory 14 inch Máy tính xách tay mới Intel Core i5 RAM 12GB SSD 128GB Máy tính xách tay chính hãng Cửa sổ 11/MS Office FHD 1920x1080 Máy tính xách tay sinh viên Bảo hành cơ bản 2 năm,https://www.lazada.vn/products/asus-factory-14-inch-may-tinh-xach-tay-moi-intel-core-i5-ram-12gb-ssd-128gb-may-tinh-xach-tay-chinh-hang-cua-so-11ms-office-fhd-1920x1080-may-tinh-xach-tay-sinh-vien-bao-hanh-co-ban-2-nam-i2405944686.html,4.799.999 ₫,40% Off,Hải Phòng,28,,,
laptop,"【Vietnam spot】【ASUS Factory】Monsprin 2024 new Laptop 15.6"" FHD 11th gen Intel Celeron J4125 laptop giá rẻ ram 8g/12GB DDR4 128GB/256GB SSD Windows 10/Ms office notebook gaming Thích hợp cho các lớp học trực tuyến và văn phòng trực tuyến",https://www.lazada.vn/products/vietnam-spotasus-factorymonsprin-2024-new-laptop-156-fhd-11th-gen-intel-celeron-j4125-laptop-gia-re-ram-8g12gb-ddr4-128gb256gb-ssd-windows-10ms-office-notebook-gaming-thich-hop-cho-cac-lop-hoc-truc-tuyen-va-van-phong-truc-tuyen-i1915663823.html,6.519.809 ₫,8% Off,Hồ Chí Minh,29,,,
laptop,【ASUS Factory】Mistme 2024 new pc gaming full bộ Laptop 15.6 inch Intel J4125/core i5 máy tính laptop giá rẻ ram 16g/8g 512GB SSD Win 10/11 Ms office notebook gaming Thích hợp cho các lớp học trực tuyến và văn phòng trực tuyến,https://www.lazada.vn/products/asus-factorymistme-2024-new-pc-gaming-full-bo-laptop-156-inch-intel-j4125core-i5-may-tinh-laptop-gia-re-ram-16g8g-512gb-ssd-win-1011-ms-office-notebook-gaming-thich-hop-cho-cac-lop-hoc-truc-tuyen-va-van-phong-truc-tuyen-i1814607365.html,6.228.599 ₫,28% Off,Hồ Chí Minh,30,19 Đã bán,(4),30.0
laptop,"Laptop cũ i3 giá rẻ, học tập văn phòng, bán hàng online giá rẻ",https://www.lazada.vn/products/laptop-cu-i3-gia-re-hoc-tap-van-phong-ban-hang-online-gia-re-i2061392774.html,1.200.000 ₫,48% Off,Hồ Chí Minh,31,,,
laptop,Mới[Mới 100%]【Lennovo Factory】Monsprin 2024 new Laptop lap top gaming giá rẻ 14 inch 11th gen intel Celeron J4105 RAM 6GB 128GB/256GB SSD Được cài đặt sẵn hệ thống Windows 10 chính hãng và MS Office với ngôn ngữ địa phương tiếng Việt,https://www.lazada.vn/products/moimoi-100lennovo-factorymonsprin-2024-new-laptop-lap-top-gaming-gia-re-14-inch-11th-gen-intel-celeron-j4105-ram-6gb-128gb256gb-ssd-duoc-cai-dat-san-he-thong-windows-10-chinh-hang-va-ms-office-voi-ngon-ngu-dia-phuong-tieng-viet-i1969918462.html,6.614.299 ₫,27% Off,Hồ Chí Minh,32,,,
