Type,Price_sale,Sale_off,Total_sold,Preview,Location,Price_original,Ship_price,Sale_rating,Ship_on_time,Chat_response,One_star,Two_star,Three_star,Four_star,Five_star
dien thoai,31.990.000 ₫,9% Off,700 Đã bán,(145),Bắc Ninh,34.990.000 ₫,5.500 ₫,94%,98%,100%,1,0,1,0,143
dien thoai,31.590.000 ₫,16% Off,21 Đã bán,(2),Hồ Chí Minh,37.490.000 ₫,,90%,,100%,0,0,0,0,3
dien thoai,30.170.000 ₫,25% Off,538 Đã bán,(168),Hồ Chí Minh,39.990.000 ₫,19.600 ₫,97%,68%,100%,1,1,1,1,164
dien thoai,29.517.000 ₫,11% Off,6 Đã bán,,Hồ Chí Minh,32.990.000 ₫,18.300 ₫,99%,100%,100%,0,0,0,0,0
dien thoai,29.590.000 ₫,15% Off,11.2K Đã bán,(2636),Hồ Chí Minh,34.999.000 ₫,5.500 ₫,94%,98%,100%,30,3,8,9,2586
dien thoai,28.990.000 ₫,12% Off,,,Hà Nội,32.990.000 ₫,38.000 ₫,98%,100%,90%,0,0,0,0,0
dien thoai,28.090.000 ₫,17% Off,13 Đã bán,,Hồ Chí Minh,33.990.000 ₫,,90%,,100%,0,0,0,0,0
dien thoai,27.989.000 ₫,8% Off,123 Đã bán,(26),Hồ Chí Minh,30.490.000 ₫,16.500 ₫,91%,99%,100%,0,0,0,1,25
dien thoai,24.898.000 ₫,27% Off,6 Đã bán,,Hồ Chí Minh,33.990.000 ₫,18.300 ₫,99%,99%,95%,0,0,0,0,0
dien thoai,24.880.000 ₫,22% Off,,,Hà Nội,31.990.000 ₫,,94%,,87%,0,0,0,0,0
dien thoai,24.290.100 ₫,10% Off,,,Hà Nội,29.990.000 ₫,,94%,,87%,0,0,0,0,0
dien thoai,24.140.000 ₫,29% Off,,,Hồ Chí Minh,33.990.000 ₫,16.500 ₫,98%,82%,100%,0,0,0,0,0
dien thoai,23.590.000 ₫,11% Off,14 Đã bán,(1),Hồ Chí Minh,26.490.000 ₫,,90%,,100%,1,0,0,0,0
dien thoai,23.290.000 ₫,31% Off,7 Đã bán,(3),Hồ Chí Minh,44.490.000 ₫,Miễn phí,98%,100%,90%,0,0,0,1,2
dien thoai,22.990.000 ₫,,5 Đã bán,,Hồ Chí Minh,,19.600 ₫,99%,100%,75%,0,0,0,0,0
dien thoai,21.989.000 ₫,27% Off,2.4K Đã bán,(474),Hồ Chí Minh,29.990.000 ₫,16.500 ₫,91%,99%,100%,16,4,3,12,440
dien thoai,21.390.000 ₫,7% Off,,,Hồ Chí Minh,22.900.000 ₫,18.300 ₫,99%,99%,95%,0,0,0,0,0
dien thoai,21.310.000 ₫,18% Off,,,Hà Nội,25.990.000 ₫,,94%,,87%,0,0,0,0,0
dien thoai,20.989.000 ₫,9% Off,114 Đã bán,(29),Hồ Chí Minh,22.990.000 ₫,16.500 ₫,91%,99%,100%,1,1,4,1,22
dien thoai,20.691.000 ₫,10% Off,,,Hà Nội,22.990.000 ₫,,92%,,33%,0,0,0,0,0
dien thoai,20.090.000 ₫,13% Off,,(1),Hồ Chí Minh,22.990.000 ₫,,90%,,100%,0,0,0,0,1
dien thoai,19.930.000 ₫,20% Off,103 Đã bán,(22),Hồ Chí Minh,24.990.000 ₫,19.600 ₫,97%,68%,100%,1,0,0,0,21
dien thoai,19.640.000 ₫,15% Off,10 Đã bán,(4),Hồ Chí Minh,22.990.000 ₫,18.300 ₫,99%,100%,100%,0,0,0,0,4
dien thoai,19.190.000 ₫,17% Off,1.0K Đã bán,(236),Hồ Chí Minh,22.990.000 ₫,5.500 ₫,94%,98%,100%,2,0,1,0,234
dien thoai,18.990.000 ₫,42% Off,8 Đã bán,(3),Hồ Chí Minh,32.990.000 ₫,18.300 ₫,99%,100%,75%,0,0,0,0,2
dien thoai,16.800.000 ₫,,,,Nam Định,,202.600 ₫,,,,0,0,0,0,0
dien thoai,16.769.000 ₫,35% Off,,,Hồ Chí Minh,25.990.000 ₫,18.300 ₫,98%,82%,100%,0,0,0,0,0
dien thoai,15.382.000 ₫,,26 Đã bán,,Hồ Chí Minh,,18.300 ₫,98%,100%,100%,0,0,0,0,0
dien thoai,14.390.000 ₫,20% Off,303 Đã bán,(70),Hà Nội,17.990.000 ₫,38.000 ₫,99%,100%,85%,0,0,1,3,66
dien thoai,14.089.000 ₫,17% Off,67 Đã bán,(6),Hồ Chí Minh,16.900.000 ₫,18.300 ₫,97%,100%,100%,0,0,0,0,6
dien thoai,13.990.000 ₫,26% Off,32 Đã bán,(2),Hồ Chí Minh,18.990.000 ₫,18.300 ₫,99%,100%,75%,0,0,0,0,2
dien thoai,12.998.500 ₫,23% Off,16 Đã bán,(2),Hồ Chí Minh,16.890.500 ₫,,90%,,100%,0,0,0,1,2
dien thoai,12.200.000 ₫,18% Off,,(1),Hà Nội,14.900.000 ₫,,94%,,87%,0,0,0,0,1
dien thoai,11.989.000 ₫,19% Off,86 Đã bán,(16),Hồ Chí Minh,14.890.000 ₫,16.500 ₫,91%,99%,100%,1,0,0,0,15
dien thoai,11.680.000 ₫,10% Off,35 Đã bán,(8),Hồ Chí Minh,12.990.000 ₫,18.300 ₫,98%,100%,90%,0,0,0,0,9
dien thoai,11.617.600 ₫,22% Off,33 Đã bán,(2),Hồ Chí Minh,14.889.600 ₫,,90%,,100%,0,0,0,0,3
dien thoai,11.039.000 ₫,26% Off,,(0),Bến Tre,14.890.000 ₫,28.700 ₫,98%,100%,100%,0,0,0,0,1
dien thoai,37.020.000 ₫,,,,Hà Nội,,38.000 ₫,100%,100%,,0,0,0,0,0
dien thoai,28.791.000 ₫,10% Off,,,Hà Nội,31.990.000 ₫,,94%,,87%,0,0,0,0,0
dien thoai,23.391.000 ₫,10% Off,,,Hà Nội,25.990.000 ₫,,94%,,87%,0,0,0,0,0
dien thoai,16.990.000 ₫,15% Off,13 Đã bán,(5),Hồ Chí Minh,19.990.000 ₫,18.300 ₫,99%,100%,75%,0,0,0,0,5
dien thoai,10.990.000 ₫,,15 Đã bán,(1),Hồ Chí Minh,,18.300 ₫,99%,100%,100%,0,0,0,0,1
dien thoai,10.500.000 ₫,,,,Nam Định,,110.800 ₫,,,,0,0,0,0,0
dien thoai,10.489.500 ₫,,,,Hồ Chí Minh,,16.500 ₫,,,50%,0,0,0,0,0
dien thoai,10.490.000 ₫,,,,Hà Nội,,19.000 ₫,95%,100%,100%,0,0,0,0,0
dien thoai,10.489.000 ₫,52% Off,217 Đã bán,(30),Hồ Chí Minh,21.990.000 ₫,18.300 ₫,91%,99%,100%,2,0,0,2,26
dien thoai,10.390.000 ₫,22% Off,,,Vĩnh Phúc,13.390.000 ₫,37.700 ₫,100%,100%,100%,0,0,0,0,0
dien thoai,10.100.000 ₫,8% Off,6 Đã bán,(2),Hồ Chí Minh,10.990.000 ₫,18.300 ₫,98%,100%,90%,0,0,0,0,2
dien thoai,9.990.000 ₫,,,,Hồ Chí Minh,,16.500 ₫,,,50%,0,0,0,0,0
dien thoai,9.890.000 ₫,21% Off,38 Đã bán,(12),Bình Dương,12.490.000 ₫,,98%,,97%,0,0,1,1,11
dien thoai,9.790.000 ₫,1% Off,,,Hồ Chí Minh,9.900.000 ₫,18.300 ₫,99%,99%,95%,0,0,0,0,0
dien thoai,9.500.000 ₫,,10 Đã bán,,Nam Định,,37.700 ₫,87%,80%,100%,0,0,0,0,0
dien thoai,9.499.000 ₫,10% Off,,,Hồ Chí Minh,10.499.000 ₫,Miễn phí,82%,,100%,0,0,0,0,0
dien thoai,9.220.491 ₫,29% Off,61 Đã bán,(2),Hồ Chí Minh,12.990.000 ₫,16.500 ₫,97%,100%,100%,0,0,0,1,1
dien thoai,9.090.000 ₫,24% Off,533 Đã bán,(126),Hà Nội,12.990.000 ₫,38.000 ₫,99%,100%,85%,1,0,0,2,123
dien thoai,8.991.000 ₫,,,,Hồ Chí Minh,,Miễn phí,79%,,,0,0,0,0,0
dien thoai,8.990.000 ₫,,,,Hồ Chí Minh,,45.100 ₫,100%,100%,,0,0,0,0,0
dien thoai,8.990.000 ₫,10% Off,23 Đã bán,(5),Hồ Chí Minh,11.490.000 ₫,18.300 ₫,99%,100%,100%,0,0,0,0,5
dien thoai,8.890.000 ₫,60% Off,9.1K Đã bán,(1555),Hồ Chí Minh,23.990.000 ₫,5.500 ₫,94%,98%,100%,34,13,14,37,1458
dien thoai,8.888.000 ₫,23% Off,16 Đã bán,(7),Hồ Chí Minh,11.500.000 ₫,18.300 ₫,96%,75%,100%,0,0,0,0,7
dien thoai,8.390.000 ₫,7% Off,,(1),Long An,8.990.000 ₫,28.700 ₫,99%,100%,91%,0,0,0,0,1
dien thoai,8.100.000 ₫,5% Off,,,Hồ Chí Minh,8.500.000 ₫,Miễn phí,,100%,100%,0,0,0,0,0
dien thoai,7.850.000 ₫,17% Off,,,Hồ Chí Minh,9.500.000 ₫,16.500 ₫,98%,82%,100%,0,0,0,0,0
dien thoai,7.590.000 ₫,,6 Đã bán,,Nam Định,,37.700 ₫,87%,80%,100%,0,0,0,0,0
dien thoai,7.490.000 ₫,7% Off,7 Đã bán,(1),Hồ Chí Minh,8.090.000 ₫,18.300 ₫,99%,99%,95%,0,0,0,0,1
dien thoai,7.490.000 ₫,12% Off,7 Đã bán,(1),Hồ Chí Minh,8.990.000 ₫,18.300 ₫,99%,100%,100%,0,0,0,0,2
dien thoai,7.400.000 ₫,1% Off,22 Đã bán,(1),Nam Định,10.200.000 ₫,37.700 ₫,87%,80%,100%,0,0,0,0,1
dien thoai,7.349.000 ₫,11% Off,9 Đã bán,(2),Hồ Chí Minh,8.290.000 ₫,18.300 ₫,99%,99%,95%,0,0,0,0,2
dien thoai,7.290.000 ₫,,,,Hồ Chí Minh,,1.928.000 ₫,99%,100%,100%,0,0,0,0,0
dien thoai,7.199.000 ₫,,,,Hà Nội,,32.700 ₫,,,,0,0,0,0,0
dien thoai,7.190.000 ₫,7% Off,,(2),Long An,7.690.000 ₫,28.700 ₫,99%,100%,91%,0,0,0,0,2
dien thoai,7.180.000 ₫,32% Off,208 Đã bán,(49),Hồ Chí Minh,10.490.000 ₫,16.500 ₫,99%,99%,95%,0,0,0,0,49
dien thoai,6.539.000 ₫,6% Off,9 Đã bán,(3),Vĩnh Phúc,7.980.000 ₫,43.900 ₫,100%,100%,100%,0,0,0,0,3
dien thoai,6.490.000 ₫,10% Off,9 Đã bán,(5),Hồ Chí Minh,7.230.000 ₫,18.300 ₫,98%,100%,90%,0,0,0,0,5
dien thoai,6.388.000 ₫,22% Off,36 Đã bán,(13),Tiền Giang,8.500.000 ₫,28.700 ₫,97%,100%,100%,0,0,0,0,14
dien thoai,6.290.000 ₫,3% Off,14 Đã bán,(5),Hồ Chí Minh,6.490.000 ₫,18.300 ₫,99%,100%,100%,0,0,0,0,5
dien thoai,6.194.000 ₫,,58 Đã bán,(9),Hồ Chí Minh,,Miễn phí,,100%,100%,0,0,0,0,9
dien thoai,29.890.000 ₫,17% Off,16 Đã bán,(4),Bình Dương,35.990.000 ₫,,98%,,97%,0,0,0,0,4
dien thoai,18.990.000 ₫,17% Off,,,Đà Nẵng,22.990.000 ₫,38.000 ₫,97%,83%,76%,0,0,0,0,0
dien thoai,13.490.000 ₫,37% Off,,,Hà Nội,21.300.000 ₫,38.000 ₫,91%,95%,100%,0,0,0,0,0
dien thoai,12.200.000 ₫,18% Off,,,Hà Nội,16.890.500 ₫,,92%,,33%,0,0,0,0,0
dien thoai,10.690.000 ₫,11% Off,,,Đà Nẵng,11.990.000 ₫,27.000 ₫,100%,100%,100%,0,0,0,0,0
dien thoai,6.975.000 ₫,,,,Hồ Chí Minh,,16.500 ₫,,,50%,0,0,0,0,0
dien thoai,6.189.000 ₫,15% Off,,(2),Hồ Chí Minh,7.290.000 ₫,18.300 ₫,99%,99%,95%,0,0,0,0,2
dien thoai,6.090.000 ₫,24% Off,60 Đã bán,(11),Hồ Chí Minh,7.990.000 ₫,18.300 ₫,99%,99%,95%,0,0,0,0,11
dien thoai,5.900.000 ₫,26% Off,216 Đã bán,(122),Hồ Chí Minh,7.990.000 ₫,16.500 ₫,97%,,,0,1,0,2,119
dien thoai,5.900.000 ₫,,,(1),Nam Định,,37.700 ₫,87%,80%,100%,0,0,0,0,1
dien thoai,5.889.000 ₫,15% Off,,,Hồ Chí Minh,6.988.000 ₫,Miễn phí,82%,,100%,0,0,0,0,0
dien thoai,5.700.000 ₫,3% Off,,,Nam Định,6.990.000 ₫,37.700 ₫,87%,80%,100%,0,0,0,0,0
dien thoai,5.687.310 ₫,8% Off,161 Đã bán,(54),Hà Nội,9.490.000 ₫,26.100 ₫,95%,100%,100%,1,3,1,3,46
dien thoai,5.499.000 ₫,15% Off,,,Hồ Chí Minh,6.499.000 ₫,Miễn phí,82%,,100%,0,0,0,0,0
dien thoai,5.400.000 ₫,5% Off,,(1),Hà Nội,5.700.000 ₫,Miễn phí,93%,33%,100%,0,0,0,0,1
dien thoai,5.389.000 ₫,23% Off,38 Đã bán,(15),Tiền Giang,7.500.000 ₫,28.700 ₫,97%,100%,100%,0,0,0,2,14
dien thoai,5.129.831 ₫,20% Off,18 Đã bán,(9),Vĩnh Phúc,6.450.000 ₫,43.900 ₫,100%,100%,100%,0,0,0,0,9
dien thoai,5.128.000 ₫,11% Off,68 Đã bán,(41),Vĩnh Phúc,5.750.000 ₫,43.900 ₫,100%,100%,100%,0,0,0,0,41
dien thoai,5.089.000 ₫,7% Off,9 Đã bán,(3),Hồ Chí Minh,,16.500 ₫,96%,100%,75%,0,0,0,0,3
dien thoai,5.000.000 ₫,,,,Hải Phòng,,37.700 ₫,,,,0,0,0,0,0
dien thoai,4.990.000 ₫,9% Off,,,Hồ Chí Minh,5.490.000 ₫,16.500 ₫,97%,100%,,0,0,0,0,0
dien thoai,4.990.000 ₫,9% Off,,,Hồ Chí Minh,5.490.000 ₫,Miễn phí,96%,100%,80%,0,0,0,0,0
dien thoai,4.990.000 ₫,6% Off,5 Đã bán,(2),Long An,5.290.000 ₫,28.700 ₫,99%,100%,91%,0,0,0,0,2
dien thoai,4.939.000 ₫,1% Off,,,Bến Tre,4.990.000 ₫,28.700 ₫,98%,100%,100%,0,0,0,0,0
dien thoai,4.939.000 ₫,1% Off,,,Bến Tre,4.990.000 ₫,28.700 ₫,97%,100%,100%,0,0,0,0,0
dien thoai,4.920.000 ₫,10% Off,26 Đã bán,(12),Hồ Chí Minh,5.490.000 ₫,16.500 ₫,99%,100%,76%,0,0,0,1,11
dien thoai,4.914.000 ₫,,110 Đã bán,(12),Hồ Chí Minh,,Miễn phí,96%,100%,100%,0,0,0,0,12
dien thoai,4.689.000 ₫,"LazFlash Sale,kết thúc sau 2 ngày",371 Đã bán,(35),Hồ Chí Minh,4.690.000 ₫,16.500 ₫,91%,99%,100%,0,0,1,0,34
dien thoai,4.649.000 ₫,7% Off,53 Đã bán,(28),Hồ Chí Minh,4.990.000 ₫,16.500 ₫,99%,100%,76%,0,0,1,0,27
