Type,Title,Link,Price_sale,Sale_off,Total_sold,Preview,Location,Price_original,Ship_price,Return,Sale_rating,Ship_on_time,Chat_response,One_star,Two_star,Three_star,Four_star,Five_star
dien thoai,Điện Thoại Samsung Galaxy S23 Ultra 5G - Hàng Chính Hãng,https://www.lazada.vn/products/dien-thoai-samsung-galaxy-ultra-5g-hang-chinh-hang-i2617849641.html,28.990.000 ₫,,,,Hà Nội,,32.700 ₫,30 Ngày Trả Hàng Miễn Phí,Không đủ thông tin,Không đủ thông tin,Không đủ thông tin,['0'],['0'],['0'],['0'],['0']
dien thoai,Điện thoại Samsung Galaxy S24 Ultra 12GB/256GB - Độc Quyền Online,https://www.lazada.vn/products/dien-thoai-samsung-galaxy-ultra-12gb256gb-doc-quyen-online-i2534421716.html,28.090.000 ₫,17% Off,13 Đã bán,,Hồ Chí Minh,33.990.000 ₫,,30 Ngày Trả Hàng Miễn Phí,91%,Không đủ thông tin,100%,['0'],['0'],['0'],['0'],['0']
dien thoai,Điện thoại Samsung Galaxy S22 Ultra 512GB 256GB và 128GB,https://www.lazada.vn/products/dien-thoai-samsung-galaxy-ultra-512gb-256gb-va-128gb-i2538970262.html,27.891.000 ₫,10% Off,,,Hà Nội,32.990.000 ₫,,30 Ngày Trả Hàng Miễn Phí,94%,Không đủ thông tin,71%,['0'],['0'],['0'],['0'],['0']
dien thoai,[Galaxy S24 Ultra] Điện thoại thông minh Samsung Galaxy S24 Ultra,https://www.lazada.vn/products/galaxy-ultra-dien-thoai-thong-minh-samsung-galaxy-ultra-i1958921554.html,27.490.000 ₫,11% Off,7 Đã bán,(5),Hà Nội,33.990.000 ₫,51.500 ₫,,94%,96%,100%,['0'],['0'],['0'],['0'],['5']
dien thoai,"Điện thoại Galaxy S24 Ultra 5G (128/256/512GB), Chip Snapdragon 8 Gen 3, đủ màu, BH trọn gói 12 tháng",https://www.lazada.vn/products/dien-thoai-galaxy-ultra-5g-128256512gb-chip-snapdragon-8-gen-3-du-mau-bh-tron-goi-12-thang-i2578993721.html,27.399.000 ₫,,,,Hà Nội,,32.700 ₫,,97%,Không đủ thông tin,Không đủ thông tin,['0'],['0'],['0'],['0'],['0']
dien thoai,Điện thoại Samsung Galaxy S24 Ultra 5G 512GB - Chính Hãng,https://www.lazada.vn/products/dien-thoai-samsung-galaxy-ultra-5g-512gb-chinh-hang-i2571112551.html,26.590.000 ₫,22% Off,,(1),Hồ Chí Minh,33.999.000 ₫,7.300 ₫,,97%,Không đủ thông tin,40%,['0'],['0'],['0'],['0'],['1']
dien thoai,"Điện Thoại Gập Google Pixel Fold, Chip Tensor G2, Ram 12/256/512GB, Màn Hình 5.8/7.6 inch, SonPixel.",https://www.lazada.vn/products/dien-thoai-gap-google-pixel-fold-chip-tensor-g2-ram-12256512gb-man-hinh-5876-inch-sonpixel-i2431815430.html,25.390.000 ₫,41% Off,,,Hà Nội,43.000.000 ₫,38.000 ₫,,91%,95%,100%,['0'],['0'],['0'],['0'],['0']
dien thoai,Điện thoại Samsung Galaxy S24 Ultra 12GB-256GB,https://www.lazada.vn/products/dien-thoai-samsung-galaxy-ultra-12gb-256gb-i2580519746.html,24.898.000 ₫,27% Off,7 Đã bán,,Hồ Chí Minh,33.990.000 ₫,18.300 ₫,30 Ngày Trả Hàng Miễn Phí,99%,99%,97%,['0'],['0'],['0'],['0'],['0']
dien thoai,Điện Thoại Samsung Galaxy S23 Ultra | 256GB - 512GB - 1TB,https://www.lazada.vn/products/dien-thoai-samsung-galaxy-ultra-256gb-512gb-1tb-i2539000069.html,24.880.000 ₫,22% Off,,,Hà Nội,31.990.000 ₫,,30 Ngày Trả Hàng Miễn Phí,94%,Không đủ thông tin,71%,['0'],['0'],['0'],['0'],['0']
dien thoai,Điện Thoại Samsung Galaxy S23+ (S23 Plus),https://www.lazada.vn/products/dien-thoai-samsung-galaxy-plus-i2538947515.html,24.290.100 ₫,10% Off,,,Hà Nội,29.990.000 ₫,,30 Ngày Trả Hàng Miễn Phí,94%,Không đủ thông tin,71%,['0'],['0'],['0'],['0'],['0']
