Type,Title,Link,Price_sale,Sale_off,Total_sold,Preview,Location,Price_original,Ship_price,Return,Sale_rating,Ship_on_time,Chat_response,One_star,Two_star,Three_star,Four_star,Five_star
laptop,Laptop HP ProBook 440 G10 873A2PA (Core i3-1315U | 8GB | 256GB | Intel UHD Graphics | 14 inch FHD | Win11 | Silver) - Hàng Chính Hãng,https://www.lazada.vn/products/laptop-hp-probook-440-g10-873a2pa-core-i3-1315u-8gb-256gb-intel-uhd-graphics-14-inch-fhd-win11-silver-hang-chinh-hang-i2413133403.html,15.000.000 ₫,12% Off,,,Hồ Chí Minh,16.990.000 ₫,Miễn phí,30 Ngày Trả Hàng Miễn Phí,94%,86%,100%,['0'],['0'],['0'],['0'],['0']
laptop,Máy tính xách tay Dell Xps 13 Plus 9320,https://www.lazada.vn/products/may-tinh-xach-tay-dell-xps-13-plus-9320-i2108907159.html,35.990.000 ₫,,,,Hồ Chí Minh,,27.300 ₫,,Không đủ thông tin,Không đủ thông tin,Không đủ thông tin,['0'],['0'],['0'],['0'],['0']
laptop,Máy tính Surface pro 9 hàng nhập khẩu,https://www.lazada.vn/products/may-tinh-surface-pro-9-hang-nhap-khau-i2114315614.html,20.143.200 ₫,25% Off,,,Hồ Chí Minh,44.899.000 ₫,Miễn phí,,97%,100%,100%,['0'],['0'],['0'],['0'],['0']
laptop,"Mỏng nhẹ, nhôm nguyên khối, giá rẻ Hp 830G5 ram16, ssd256 chip i5 thế hệ 8",https://www.lazada.vn/products/mong-nhe-nhom-nguyen-khoi-gia-re-hp-830g5-ram16-ssd256-chip-i5-the-he-8-i2599597614.html,5.900.000 ₫,31% Off,,,Thanh Hóa,8.500.000 ₫,56.800 ₫,,96%,100%,75%,['0'],['0'],['0'],['0'],['0']
laptop,Laptop HP ProBook 450 G10 873J6PA (Core i5 1340P/ 8GB/ 512GB SSD/ Intel UHD Graphics/ 15.6inch FHD Touch screen/ Windows 11 Home/ Silver/ Vỏ nhôm) - Hàng Chính Hãng,https://www.lazada.vn/products/laptop-hp-probook-450-g10-873j6pa-core-i5-1340p-8gb-512gb-ssd-intel-uhd-graphics-156inch-fhd-touch-screen-windows-11-home-silver-vo-nhom-hang-chinh-hang-i2413197397.html,20.950.000 ₫,7% Off,,,Hồ Chí Minh,22.590.000 ₫,Miễn phí,30 Ngày Trả Hàng Miễn Phí,94%,86%,100%,['0'],['0'],['0'],['0'],['0']
laptop,Laptop xách tay giá rẻ LENOVO THINKPAD T580 I5 8350 RAM 8GB SSD 256GB 99%,https://www.lazada.vn/products/laptop-xach-tay-gia-re-lenovo-thinkpad-t580-i5-8350-ram-8gb-ssd-256gb-99-i2663040781.html,5.800.000 ₫,,,,Hà Nội,,Miễn phí,,98%,100%,100%,['0'],['0'],['0'],['0'],['0']
laptop,[6.6 SALE TO] MacBook Air 2020 13.3 inches M1- Hàng Chính Hãng,https://www.lazada.vn/products/66-sale-to-macbook-air-2020-133-inches-m1-hang-chinh-hang-i1040858590.html,17.990.000 ₫,38% Off,3.0K Đã bán,(666),Bắc Ninh,28.990.000 ₫,10.200 ₫,30 Ngày Trả Hàng Miễn Phí,94%,98%,100%,['28'],['5'],['10'],['17'],['606']
laptop,ASUS ZENBOOK 14 Q410 i5 13500H/ RAM 8GB/ SSD 512GB/ 14.5INCH 2.8K OLED/ LAPTOP DOANH NHÂN CAO CẤP/ HỖ TRỢ LẬP TRÌNH ĐỒ HỌA/ GIÁ RẺ,https://www.lazada.vn/products/asus-zenbook-14-q410-i5-13500h-ram-8gb-ssd-512gb-145inch-28k-oled-laptop-doanh-nhan-cao-cap-ho-tro-lap-trinh-do-hoa-gia-re-i2646227078.html,14.900.000 ₫,,,,Hồ Chí Minh,,27.300 ₫,,Không đủ thông tin,Không đủ thông tin,Không đủ thông tin,['0'],['0'],['0'],['0'],['0']
laptop,Laptop Dell Inspiron 7567 máy tính giá rẻ(Core i7-7700HQ/8GB DDR4/HDD 500G+SSD 128G/GTX 1050),https://www.lazada.vn/products/laptop-dell-inspiron-7567-may-tinh-gia-recore-i7-7700hq8gb-ddr4hdd-500gssd-128ggtx-1050-i2600882792.html,3.200.000 ₫,50% Off,,,Hà Nội,6.400.000 ₫,Miễn phí,,Không đủ thông tin,Không đủ thông tin,Không đủ thông tin,['0'],['0'],['0'],['0'],['0']
laptop,Laptop HP 15s-fq5228TU - 8U240PA (i3-1215U) (Xanh) - Bảo hành 12 tháng,https://www.lazada.vn/products/laptop-hp-15s-fq5228tu-8u240pa-i3-1215u-xanh-bao-hanh-12-thang-i2311857354.html,10.490.000 ₫,19% Off,351 Đã bán,(108),Hồ Chí Minh,12.990.000 ₫,21.200 ₫,30 Ngày Trả Hàng Miễn Phí,98%,77%,66%,['3'],['0'],['0'],['1'],['104']
