Type,Price_sale,Sale_off,Total_sold,Preview,Location,Price_original,Ship_price,Sale_rating,Ship_on_time,Chat_response,One_star,Two_star,Three_star,Four_star,Five_star
laptop,2.550.000 ₫,20% Off,33 Đã bán,(9),Hà Nội,3.200.000 ₫,52.400 ₫,91%,85%,100%,0,0,0,0,9
laptop,7.250.089 ₫,19% Off,129 Đã bán,(35),Hồ Chí Minh,8.999.999 ₫,Miễn phí,95%,100%,83%,1,0,0,0,34
laptop,4.351.599 ₫,48% Off,25 Đã bán,(5),Hải Phòng,8.299.999 ₫,Miễn phí,100%,100%,80%,0,0,0,0,5
laptop,21.600.000 ₫,8% Off,,(1),Hồ Chí Minh,23.590.000 ₫,Miễn phí,94%,81%,100%,0,0,0,0,1
laptop,864.999 ₫,28% Off,,,Hưng Yên,,,,,,1,0,0,0,1
laptop,400.000 ₫,,,,Tiền Giang,,40.300 ₫,87%,37%,100%,0,0,0,0,2
laptop,3.800.000 ₫,46% Off,,,Hồ Chí Minh,7.000.000 ₫,16.500 ₫,96%,80%,94%,0,0,0,1,0
laptop,2.300.000 ₫,8% Off,,,Hà Nội,3.000.000 ₫,104.900 ₫,92%,66%,85%,0,0,0,0,1
laptop,1.300.000 ₫,,,,Hà Nội,,104.900 ₫,92%,66%,85%,0,0,0,0,8
laptop,2.500.000 ₫,,,,Hà Nội,,104.900 ₫,92%,66%,85%,0,0,2,1,43
laptop,2.750.000 ₫,31% Off,,,Hồ Chí Minh,4.000.000 ₫,16.500 ₫,96%,80%,94%,0,0,0,0,0
laptop,1.600.000 ₫,,,,Nghệ An,,56.800 ₫,95%,100%,,6,1,2,9,115
laptop,2.550.000 ₫,49% Off,,,Thái Bình,5.000.000 ₫,80.200 ₫,95%,100%,,2,0,0,2,46
laptop,3.240.000 ₫,,,,Hà Nội,,Miễn phí,98%,100%,100%,0,0,0,0,0
laptop,465.000 ₫,6% Off,,,Hồ Chí Minh,199.000 ₫,16.500 ₫,99%,100%,100%,3,1,2,12,771
laptop,6.000.000 ₫,,,,Nam Định,,56.800 ₫,99%,100%,100%,0,0,0,0,42
laptop,1.799.000 ₫,,,,Đồng Nai,,65.500 ₫,96%,50%,100%,0,0,0,1,12
laptop,4.000.000 ₫,50% Off,,,Hồ Chí Minh,8.598.000 ₫,10.200 ₫,91%,100%,80%,0,0,0,0,1
laptop,3.200.000 ₫,33% Off,,,Hồ Chí Minh,4.800.000 ₫,23.800 ₫,96%,100%,100%,0,0,0,0,1
