Type,Price_sale,Sale_off,Total_sold,Preview,Location,Price_original,Ship_price,Sale_rating,Ship_on_time,Chat_response,One_star,Two_star,Three_star,Four_star,Five_star
3,37905.0,96.0,2000.0,520.0,19,1000000.0,16500,87,96,34,67.0,34.0,21.0,15.0,383.0
3,40000.0,50.0,64.0,13.0,34,80000.0,37700,91,100,96,0.0,1.0,1.0,0.0,11.0
3,121046.0,50.0,0.0,0.0,25,240329.0,0,97,97,100,0.0,0.0,0.0,0.0,0.0
3,39000.0,50.0,159.0,44.0,23,78000.0,37700,93,97,98,2.0,0.0,2.0,2.0,38.0
3,32783.0,53.0,253.0,58.0,23,180000.0,37700,91,100,100,5.0,0.0,4.0,0.0,49.0
3,17656.0,39.0,1300.0,212.0,19,59000.0,16500,94,99,69,2.0,2.0,9.0,4.0,196.0
3,42934.0,57.0,90.0,27.0,34,99000.0,37700,91,100,96,3.0,1.0,2.0,0.0,22.0
3,69120.0,40.0,40.0,17.0,15,115000.0,32700,91,99,64,0.0,1.0,1.0,1.0,14.0
3,39699.0,12.0,236.0,76.0,23,45000.0,37700,93,99,80,3.0,0.0,3.0,5.0,66.0
3,28336.0,57.0,999.0,194.0,19,58000.0,16500,94,99,69,6.0,1.0,2.0,3.0,183.0
3,45614.0,43.0,1700.0,379.0,19,120000.0,37700,93,99,60,7.0,3.0,12.0,17.0,340.0
3,49000.0,46.0,24.0,9.0,34,90000.0,51100,94,87,100,0.0,0.0,1.0,2.0,6.0
3,39030.0,56.0,88.0,30.0,19,89000.0,16500,96,84,83,1.0,0.0,0.0,0.0,29.0
3,32525.0,54.0,938.0,257.0,19,75000.0,16500,97,99,58,8.0,1.0,3.0,5.0,240.0
3,67837.0,54.0,1900.0,405.0,19,149000.0,16500,95,99,91,10.0,7.0,18.0,21.0,349.0
3,62000.0,48.0,464.0,125.0,34,120000.0,37700,93,99,66,2.0,1.0,5.0,6.0,111.0
3,84889.0,33.0,4200.0,924.0,19,132000.0,16500,99,98,94,5.0,1.0,2.0,25.0,893.0
3,118000.0,21.0,2400.0,550.0,20,150000.0,37700,95,96,98,12.0,3.0,12.0,15.0,508.0
3,56000.0,47.0,842.0,173.0,19,106200.0,16500,95,97,100,6.0,1.0,5.0,3.0,158.0
3,79016.0,58.0,8.0,3.0,25,188000.0,0,92,97,100,0.0,0.0,0.0,1.0,2.0
3,49000.0,29.0,22.0,8.0,15,149000.0,32700,91,98,81,0.0,0.0,0.0,0.0,8.0
3,92004.0,54.0,237.0,65.0,22,198000.0,28700,97,100,98,2.0,0.0,2.0,4.0,58.0
3,47228.0,57.0,134.0,40.0,19,110000.0,16500,97,96,97,0.0,0.0,1.0,5.0,35.0
3,29000.0,51.0,4900.0,915.0,15,59000.0,32700,95,100,100,15.0,14.0,32.0,56.0,798.0
3,69000.0,47.0,361.0,93.0,19,199000.0,16500,94,99,98,8.0,2.0,2.0,4.0,77.0
3,79000.0,50.0,60.0,20.0,19,355000.0,16500,94,99,98,0.0,1.0,1.0,1.0,17.0
3,53990.0,64.0,1500.0,462.0,19,149000.0,16500,97,96,97,3.0,2.0,7.0,8.0,443.0
3,59000.0,40.0,232.0,54.0,19,199000.0,16500,88,99,87,0.0,2.0,1.0,1.0,51.0
3,41650.0,15.0,247.0,81.0,19,60000.0,16500,95,92,66,2.0,0.0,3.0,1.0,75.0
3,48000.0,46.0,10.0,3.0,19,260000.0,16500,93,100,85,0.0,2.0,0.0,0.0,1.0
3,39699.0,42.0,30.0,5.0,15,69000.0,32700,91,98,81,0.0,0.0,0.0,0.0,5.0
3,42000.0,0.0,18.0,9.0,19,42000.0,18300,93,97,100,0.0,1.0,2.0,1.0,5.0
3,39000.0,61.0,26.0,10.0,19,149000.0,16500,89,99,100,0.0,0.0,0.0,0.0,11.0
3,62000.0,61.0,2000.0,604.0,19,159000.0,16500,97,96,97,3.0,4.0,6.0,20.0,572.0
3,89000.0,0.0,375.0,102.0,19,89000.0,16500,98,100,100,0.0,0.0,0.0,2.0,100.0
3,42492.0,13.0,104.0,40.0,23,95000.0,37700,93,99,80,0.0,0.0,1.0,2.0,37.0
3,39000.0,40.0,745.0,167.0,23,160000.0,37700,91,100,100,0.0,0.0,0.0,0.0,0.0
3,69120.0,59.0,571.0,186.0,15,169000.0,32700,91,99,64,7.0,5.0,4.0,12.0,158.0
3,45535.0,52.0,370.0,122.0,15,94000.0,32700,91,98,57,4.0,2.0,4.0,11.0,101.0
3,65584.0,49.0,61.0,18.0,25,129278.0,0,92,97,100,0.0,0.0,0.0,1.0,17.0
3,51111.0,48.0,46.0,19.0,34,99000.0,37700,91,100,96,0.0,0.0,1.0,1.0,17.0
3,44825.0,31.0,273.0,70.0,23,65000.0,37700,83,100,100,4.0,0.0,8.0,7.0,51.0
3,66000.0,45.0,317.0,77.0,34,120000.0,37700,91,100,96,2.0,2.0,1.0,4.0,68.0
3,38640.0,57.0,573.0,168.0,23,95000.0,37700,93,99,80,7.0,5.0,4.0,9.0,143.0
3,29000.0,41.0,22.0,11.0,25,49152.54237288135,0,95,97,98,0.0,0.0,0.0,0.0,0.0
3,43227.0,45.0,13.0,4.0,15,78594.54545454544,0,95,97,98,0.0,0.0,0.0,0.0,0.0
3,65000.0,46.0,199.0,60.0,34,120370.37037037036,0,95,97,98,0.0,0.0,0.0,0.0,0.0
3,42000.0,0.0,232.0,47.0,19,42000.0,0,93,97,100,4.0,3.0,5.0,0.0,36.0
3,42075.0,47.0,500.0,139.0,19,149000.0,16500,88,95,100,29.0,4.0,17.0,4.0,85.0
3,36924.0,46.0,0.0,2.0,15,69000.0,32700,91,99,66,0.0,0.0,0.0,0.0,2.0
3,66000.0,30.0,20.0,7.0,25,94000.0,0,92,97,100,0.0,0.0,0.0,0.0,7.0
3,45000.0,0.0,153.0,24.0,19,45000.0,18300,92,100,100,4.0,1.0,0.0,1.0,18.0
3,39000.0,44.0,224.0,56.0,19,70000.0,16500,98,100,50,0.0,1.0,1.0,0.0,54.0
3,59248.0,50.0,3000.0,701.0,19,119000.0,16500,96,93,97,8.0,7.0,15.0,30.0,642.0
3,34384.0,57.0,1700.0,459.0,19,80000.0,16500,97,99,58,7.0,3.0,9.0,12.0,428.0
3,55000.0,50.0,127.0,29.0,23,180000.0,37700,92,100,98,2.0,1.0,2.0,6.0,19.0
3,67835.0,60.0,4100.0,758.0,19,168000.0,16500,96,93,97,0.0,0.0,0.0,0.0,0.0
3,157051.0,21.0,88.0,18.0,20,200000.0,37700,95,96,98,0.0,3.0,0.0,0.0,15.0
3,41818.0,54.0,77.0,11.0,19,90000.0,16500,96,97,86,0.0,0.0,2.0,0.0,10.0
3,37172.0,79.0,1700.0,349.0,15,179000.0,32700,91,100,98,13.0,2.0,19.0,16.0,299.0
3,71700.0,76.0,1300.0,319.0,19,299000.0,16500,95,99,100,5.0,4.0,4.0,8.0,298.0
3,152280.0,24.0,1700.0,439.0,20,200000.0,37700,95,96,98,5.0,1.0,7.0,18.0,408.0
3,27879.0,60.0,4200.0,431.0,19,70000.0,18300,85,96,99,52.0,23.0,33.0,55.0,647.0
3,75000.0,0.0,994.0,193.0,19,75000.0,18300,92,99,60,5.0,5.0,12.0,13.0,158.0
3,58442.0,31.0,74.0,21.0,25,85000.0,17000,93,99,100,2.0,1.0,1.0,1.0,16.0
3,33489.0,66.0,85.0,25.0,15,98000.0,38000,62,100,75,6.0,2.0,0.0,1.0,16.0
3,56000.0,60.0,5500.0,1387.0,19,139000.0,16500,97,96,97,27.0,10.0,39.0,29.0,1283.0
3,38126.0,57.0,53.0,8.0,15,88000.0,32700,83,98,100,1.0,1.0,0.0,2.0,5.0
3,38641.0,44.0,19.0,7.0,15,99000.0,32700,90,100,63,0.0,0.0,0.0,0.0,7.0
3,33489.0,66.0,38.0,16.0,15,98000.0,38000,64,100,79,2.0,0.0,1.0,0.0,16.0
3,51111.0,7.0,269.0,74.0,19,55000.0,16500,95,92,66,2.0,1.0,0.0,4.0,67.0
3,58000.0,42.0,143.0,38.0,34,100000.0,37700,93,99,66,0.0,1.0,0.0,3.0,35.0
3,81600.0,45.0,9.0,3.0,15,149000.0,32700,91,99,64,0.0,0.0,0.0,0.0,3.0
3,23614.0,60.0,43.0,14.0,19,99000.0,16500,94,96,75,0.0,0.0,1.0,2.0,11.0
3,52894.0,31.0,869.0,380.0,15,77000.0,27000,97,100,71,2.0,0.0,5.0,8.0,365.0
3,39030.0,61.0,124.0,34.0,19,100000.0,16500,97,100,100,0.0,0.0,2.0,0.0,32.0
3,81600.0,46.0,140.0,43.0,15,150000.0,32700,91,99,64,1.0,0.0,0.0,2.0,42.0
3,36500.0,49.0,3200.0,521.0,19,71100.0,16500,95,97,100,10.0,7.0,8.0,28.0,468.0
