Type,Price_sale,Sale_off,Total_sold,Preview,Location,Price_original,Ship_price,Sale_rating,Ship_on_time,Chat_response,One_star,Two_star,Three_star,Four_star,Five_star
tivi,7.094.000 ₫,29% Off,262 Đã bán,(180),Hồ Chí Minh,10.000.000 ₫,31.600 ₫,97%,93%,100%,0,2,1,14,163
tivi,7.090.000 ₫,45% Off,38 Đã bán,(17),Hồ Chí Minh,13.000.000 ₫,31.600 ₫,97%,93%,100%,0,0,2,0,16
tivi,9.390.000 ₫,11% Off,54 Đã bán,(11),Hồ Chí Minh,10.590.000 ₫,,99%,,97%,0,0,0,0,12
tivi,3.990.000 ₫,7% Off,39 Đã bán,(13),Hà Nội,4.290.000 ₫,206.800 ₫,98%,100%,100%,1,0,1,1,10
tivi,2.829.000 ₫,29% Off,39 Đã bán,(15),Hồ Chí Minh,4.000.000 ₫,,98%,100%,99%,0,0,0,1,14
tivi,13.450.000 ₫,33% Off,53 Đã bán,(18),Hồ Chí Minh,20.000.000 ₫,,98%,100%,99%,0,0,0,0,18
tivi,4.349.000 ₫,27% Off,,(2),Hồ Chí Minh,5.990.000 ₫,,97%,100%,96%,0,0,0,0,2
tivi,2.390.000 ₫,43% Off,30 Đã bán,(17),Hà Nội,4.200.000 ₫,198.200 ₫,97%,,,0,1,0,1,15
tivi,6.510.000 ₫,,,,Hà Nội,,2.689.300 ₫,,,100%,0,0,0,0,0
tivi,12.000.000 ₫,50% Off,,,Hà Nội,24.000.000 ₫,612.500 ₫,97%,97%,100%,0,0,0,0,0
tivi,7.020.000 ₫,16% Off,,(1),Hà Nội,8.400.000 ₫,,92%,,50%,0,0,0,0,1
tivi,16.790.000 ₫,17% Off,7 Đã bán,(1),Hà Nội,20.190.000 ₫,,97%,100%,97%,0,0,0,0,1
tivi,2.752.000 ₫,37% Off,69 Đã bán,(26),Hồ Chí Minh,4.390.000 ₫,59.400 ₫,98%,100%,100%,0,0,1,0,25
tivi,39.990.000 ₫,53% Off,,,Hà Nội,84.900.000 ₫,,99%,,100%,0,0,0,0,0
tivi,7.641.000 ₫,30% Off,,(1),Hồ Chí Minh,10.990.000 ₫,,97%,,78%,0,0,0,0,1
tivi,1.248.000 ₫,8% Off,,(1),Hà Nội,1.350.000 ₫,104.900 ₫,91%,90%,96%,0,0,0,0,1
tivi,6.390.000 ₫,15% Off,12 Đã bán,(3),Hồ Chí Minh,7.500.000 ₫,,99%,,97%,0,0,0,0,3
tivi,171.005.000 ₫,5% Off,,,Hồ Chí Minh,179.900.000 ₫,,92%,,100%,0,0,0,0,0
tivi,6.300.000 ₫,,,,Hà Nội,,2.689.300 ₫,,,100%,0,0,0,0,0
tivi,6.490.000 ₫,19% Off,,,Hồ Chí Minh,14.990.000 ₫,131.600 ₫,,,,0,0,0,0,0
tivi,6.770.000 ₫,,,,Hồ Chí Minh,,46.000 ₫,100%,,66%,0,0,0,0,0
tivi,1.500.000 ₫,12% Off,,(1),Hồ Chí Minh,1.700.000 ₫,71.100 ₫,92%,,80%,0,0,1,0,1
tivi,19.990.000 ₫,9% Off,6 Đã bán,,Hồ Chí Minh,21.990.000 ₫,Miễn phí,96%,100%,100%,0,0,0,0,0
tivi,3.584.000 ₫,25% Off,,(1),Hồ Chí Minh,4.794.000 ₫,,98%,,100%,0,0,0,0,1
tivi,2.390.975 ₫,4% Off,,,Hà Nội,2.500.000 ₫,198.200 ₫,91%,95%,93%,0,0,0,0,0
tivi,13.990.000 ₫,33% Off,,,Hồ Chí Minh,20.990.000 ₫,290.200 ₫,99%,100%,100%,0,0,0,0,0
tivi,5.590.000 ₫,44% Off,,,Hồ Chí Minh,9.990.000 ₫,Miễn phí,97%,93%,100%,0,0,0,0,0
tivi,7.990.000 ₫,,20 Đã bán,(8),Bình Dương,,,96%,100%,100%,0,0,0,0,9
tivi,7.000.000 ₫,3% Off,,(1),Bình Dương,7.200.000 ₫,,97%,98%,100%,0,0,0,0,1
tivi,230.000 ₫,,7 Đã bán,(1),Hồ Chí Minh,,16.500 ₫,99%,100%,,0,0,0,0,1
tivi,11.271.000 ₫,44% Off,5 Đã bán,(3),Hồ Chí Minh,19.990.000 ₫,148.600 ₫,97%,100%,88%,0,0,0,0,2
tivi,11.790.000 ₫,28% Off,,,Hà Nội,16.390.000 ₫,,97%,100%,97%,0,0,0,0,0
tivi,5.948.000 ₫,41% Off,43 Đã bán,(19),Hồ Chí Minh,10.000.000 ₫,,98%,100%,99%,1,0,0,0,19
tivi,1.150.000 ₫,,14 Đã bán,(2),Hồ Chí Minh,,71.100 ₫,92%,,80%,1,0,0,0,2
tivi,600.000 ₫,,,,Hải Dương,,43.900 ₫,83%,100%,100%,0,0,0,0,0
tivi,1.350.000 ₫,,,(1),Bình Dương,,65.500 ₫,,,,0,0,0,1,0
tivi,5.432.000 ₫,16% Off,25 Đã bán,(6),Hồ Chí Minh,6.490.000 ₫,,97%,,78%,0,0,0,0,6
tivi,650.000 ₫,,,,Hồ Chí Minh,,18.300 ₫,,75%,100%,0,0,0,0,0
tivi,3.903.000 ₫,13% Off,30 Đã bán,(9),Hồ Chí Minh,4.490.000 ₫,,97%,,78%,0,0,0,0,9
tivi,5.135.000 ₫,36% Off,83 Đã bán,(34),Hồ Chí Minh,8.000.000 ₫,,98%,100%,99%,0,0,0,0,34
